UID          PID    PPID  C STIME TTY          TIME CMD
systemd+     493       1  0 13:21 ?        00:00:00 /lib/systemd/systemd-timesyncd
root         528       1  0 13:21 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root         529       1  0 13:21 ?        00:00:00 /usr/sbin/acpid
avahi        531       1  0 13:21 ?        00:00:00 avahi-daemon: running [skaur-VirtualBox.local]
root         533       1  0 13:21 ?        00:00:00 /usr/sbin/cron -f
root         537       1  0 13:21 ?        00:00:00 /usr/sbin/cupsd -l
message+     538       1  0 13:21 ?        00:00:00 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         539       1  0 13:21 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root         550       1  0 13:21 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         556       1  0 13:21 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
syslog       565       1  0 13:21 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
lp           567     537  0 13:21 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
lp           568     537  0 13:21 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
lp           570     537  0 13:21 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
root         571       1  0 13:21 ?        00:00:03 /usr/lib/snapd/snapd
root         572       1  0 13:21 ?        00:00:00 /usr/libexec/switcheroo-control
root         573       1  0 13:21 ?        00:00:00 /lib/systemd/systemd-logind
root         578       1  0 13:21 ?        00:00:00 /usr/lib/udisks2/udisksd
root         584       1  0 13:21 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        606     531  0 13:21 ?        00:00:00 avahi-daemon: chroot helper
root         617       1  0 13:21 ?        00:00:00 /usr/sbin/ModemManager
root         625       1  0 13:21 ?        00:00:00 /usr/sbin/cups-browsed
root         661       1  0 13:21 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
whoopsie     677       1  0 13:21 ?        00:00:00 /usr/bin/whoopsie -f
kernoops     679       1  0 13:21 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops     686       1  0 13:21 ?        00:00:00 /usr/sbin/kerneloops
root         906       1  0 13:21 ?        00:00:00 /usr/sbin/gdm3
root         915       1  0 13:21 ?        00:00:00 /usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh
root         924     906  0 13:21 ?        00:00:00 gdm-session-worker [pam/gdm-autologin]
skaur        929       1  0 13:21 ?        00:00:00 /lib/systemd/systemd --user
skaur        930     929  0 13:21 ?        00:00:00 (sd-pam)
skaur        935     929  0 13:21 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
skaur        938     929  0 13:21 ?        00:00:00 /usr/libexec/tracker-miner-fs
skaur        940       1  0 13:21 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
skaur        944     924  0 13:21 tty2     00:00:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
skaur        946     929  0 13:21 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
skaur        949     944  1 13:21 tty2     00:00:23 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
skaur        952     929  0 13:21 ?        00:00:00 /usr/libexec/gvfsd
rtkit        955       1  0 13:21 ?        00:00:00 /usr/libexec/rtkit-daemon
skaur        960     929  0 13:21 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
skaur        963     929  0 13:21 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
